"id","filename","filepath","adatecreated","ndatecreated","adatecheckedin","ndatecheckedin","businessname","licensenumber","batchid","productname","sampleid","tvsampleid","metrcnumber","approved","notified"
2989,"206262-Cannabinoids.pdf","reports/pdf/206262-Cannabinoids.pdf","08/22/2015","1440223200","2015-08-21","1440136800","JKC Manufacturing LLC","404R-00114","","Sativa 100mg Bottle","206262","2633","1A40003126874F2000000021","1440396000","144028441517996800"
2990,"206249-Cannabinoids.pdf","reports/pdf/206249-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","Left Bank LLC (Dixie)","404R-00010","WC SM 8&#x2F;20","Watermelon Cream Elixir","206249","2620","1A400031268748A000008341","1440396000","144045721518981200"
2991,"206248-Cannabinoids.pdf","reports/pdf/206248-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","Left Bank LLC (Dixie)","404R-00010","LOT-08.19.15-A","Muscle Relief Lotion","206248","2619","1A400031268748A000008339","1440396000","144045721518981200"
2994,"206243-Cannabinoids.pdf","reports/pdf/206243-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","Left Bank LLC (Dixie)","404R-00010","XDN-08.19.2015-A","Synergy Dew Drops - Natural","206243","2614","1A400031268748A000008329","1440396000","144045721518981200"
2995,"206260-Cannabinoids.pdf","reports/pdf/206260-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","Herbal Medical Institute LLC","404R-00077","8&#x2F;5","Dragon 75mg Chocolate","206260","2631","1A40003126874CD000002079","1440396000","144045721518981200"
2996,"206258-Cannabinoids.pdf","reports/pdf/206258-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","Herbal Medical Institute LLC","404R-00077","Rec #5 1750","Green Dragon Elixir","206258","2629","1A40003126874CD000002052","1440396000","144045721518981200"
2997,"206257-Cannabinoids.pdf","reports/pdf/206257-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","Herbal Medical Institute LLC","404R-00077","#2 8&#x2F;19","CBD Black Oil","206257","2628","1A40003126874CD000002048","1440396000","144045721518981200"
2998,"206255-Cannabinoids.pdf","reports/pdf/206255-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","Left Bank LLC (Dixie)","404-00036","M2937","303 Kush","206255","2626","1A400050026874A400003752","1440396000","144045721518981200"
2999,"206254-Cannabinoids.pdf","reports/pdf/206254-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","Left Bank LLC (Dixie)","404-00036","M2937","Base","206254","2625","1A400050026874A400003750","1440396000","144045721518981200"
3000,"206252-Cannabinoids.pdf","reports/pdf/206252-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","Left Bank LLC (Dixie)","404-00036","M0071","RPM Post","206252","2623","1A400050026874A400003743","1440396000","144045721518981200"
3001,"206251-Cannabinoids.pdf","reports/pdf/206251-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","Left Bank LLC (Dixie)","404-00036","M0071","RPM Pre","206251","2622","1A400050026874A400003742","1440396000","144045721518981200"
3002,"206250-Cannabinoids.pdf","reports/pdf/206250-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","Left Bank LLC (Dixie)","404R-00010","CRK-08.18.15-A","Keeping Kind Bar","206250","2621","1A400031268748A000008343","1440396000","144045721518981200"
3003,"206256-Cannabinoids.pdf","reports/pdf/206256-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","Herbal Medical Institute LLC","404-00348","3358","Gupta Kush Caviar","206256","2627","1A400050026875DC00003390","1440396000","144045721518981200"
3004,"206253-Cannabinoids.pdf","reports/pdf/206253-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","Left Bank LLC (Dixie)","404-00036","M0071","Terpene Oil","206253","2624","1A400050026874A400003745","1440396000","144045721518981200"
3023,"206225-Terpenes.pdf","reports/pdf/206225-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081015-F","Ultra Sonja Live","206225","2596","1A400031268748F000001029","1440396000","144045721518981200"
3025,"206263-Terpenes.pdf","reports/pdf/206263-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","JKC Manufacturing LLC","404R-00114","","Hybrid 100mg Bottle","206263","2634","1A40003126874F2000000022","1440396000","144045721518981200"
